Line,Group,GEBV_Brix,GEBV_Axis_length,GEBV_Immature_fruit_external_color_a,GEBV_Immature_fruit_external_color_b,GEBV_Immature_fruit_external_color_L,GEBV_Fruit_external_color_a,GEBV_Fruit_external_color_b,GEBV_Fruit_external_color_L,GEBV_Fruit_fasciation,GEBV_Fruit_maximum_length,GEBV_Fruit_load,GEBV_Flowering_time,GEBV_Fruit_pungency,GEBV_Fruit_shape_index,GEBV_Fruit_weight,GEBV_Fruit_maximum_width,GEBV_External_immature_fruit_color_green,GEBV_Locule_number,GEBV_Total_plant_height,GEBV_Pericarp_thickness,GEBV_Total_fruit_weight,GEBV_Total_fruit_number,GEBV_Fruit_predominant_shape_oblate
GPC016740,Core,-1.326992895,0.428646667,2.752951632,-4.446619782,-4.679452463,-7.22564907,-1.073049679,-1.672040093,0.688675716,2.216624475,-0.089755147,6.266680112,-0.72562283,-1.905757448,53.75977686,2.702563664,0.068136837,0.457443129,3.729826187,1.818695252,228.2647117,-25.80422096,0.05017377
GPC016810,Core,-1.605080045,-1.327429145,3.821115136,-7.370505341,-6.253613513,-9.950463221,-1.164879688,-1.257212458,0.835105751,0.70314456,-0.110701113,8.145305157,-0.805520517,-3.038518309,101.2293195,4.266182221,0.206172951,0.735177639,-7.249846038,2.883134475,317.0239415,-29.86227776,0.050862028
GPC017030,Core,-1.072100211,0.04330932,0.98000966,-3.973036284,-5.215399365,-1.672562591,-0.516223381,-2.757445485,0.804195807,0.95593275,-0.118241564,-1.123288976,-0.505640387,-1.689316184,24.13129006,1.396890275,0.084533104,0.532237639,8.290240731,0.884990499,204.2919441,-19.85607271,0.017209086
GPC017100,Core,-2.941330979,-6.322491543,4.291676318,-11.11970294,-8.15539937,-11.40979933,-1.43899943,-1.470547378,0.820862475,-1.232445281,-0.143549172,3.439469645,-1.005640387,-3.821883234,129.4731802,5.67364634,0.351199771,0.65723764,-12.29888968,4.047682806,496.7502774,-35.21107273,0.035056178
GPC017170,Core,0.004822865,-4.619694345,1.276676319,-4.934702941,-8.40206603,-16.54891043,1.933565643,16.87431371,-0.13426573,1.43051768,0.271300693,-3.261220015,-1.005640387,-0.87780916,20.17058763,0.855127823,0.415302335,-0.078873471,-26.70206691,1.188932807,-43.7630556,-25.74273938,0.012600083
GPC017640,Core,-0.181405093,-2.355111033,1.405970942,3.43274799,5.298987491,-1.128645892,0.444223722,2.042661052,-0.163523397,-1.973952948,-0.018742191,2.727559431,-0.11917548,0.054659709,4.759024198,-0.326538244,-0.396286329,-0.077855088,-6.024218774,-0.204831022,-88.33306153,45.31675465,0.002076647
GPC017680,Core,-1.101456869,-1.873094626,1.924675611,1.461771063,2.084561777,-5.367249662,-0.537956917,0.101001825,0.472632308,-0.01852994,-0.081591465,0.645207929,-0.596969884,-1.906230394,46.58193015,2.286408978,-0.439570171,0.467681908,-2.887856907,1.627094377,159.1691778,-19.76775336,0.051455325
GPC017710,Core,-2.32210021,-2.05430973,-2.929990334,9.46363037,4.207933954,0.213122743,0.080970387,3.523391498,0.237529141,1.461536197,-0.208574081,-0.14053036,-0.755640387,-1.444461012,46.49257279,2.242683378,-1.046236126,0.675094782,6.274856107,1.723137352,161.9302775,-30.11940606,0.033471235
GPC017760,Core,-1.64659717,-5.902251111,0.972678343,1.345605216,0.464173283,-6.336901907,-0.869726439,-1.906120199,0.359958215,3.369525782,0.078521579,-0.130916805,-0.830881369,-1.368688625,57.55560813,2.435133693,-0.38622303,0.36075484,-14.20320439,2.101611937,209.1615629,-29.24991995,0.041422569
GPC017800,Core,-1.764407902,-8.581232801,1.095009659,-4.974702944,-4.217066039,0.426589558,-0.314406985,2.416952619,-0.595804192,-6.633722419,0.039539247,2.738779981,-0.005640388,-3.837247217,4.325427985,0.279648895,0.107610028,0.421126528,-31.65975922,1.168836652,-134.0430557,41.80226058,0.015206352
